pax_reserva;pax_reserva_menor;pax_real;dia_reserva;id_visita;dia_visita;hora_visita;id_idioma_visita;id_origen_reserva;realitzat
1;0;1;30/04/2021;1;12/27/2021;100000;0;5;0
1;0;1;30/04/2021;2;12/30/2021;160000;1;5;0
2;0;2;12/08/2021;1;12/06/2021;100000;1;5;1
3;0;3;16/09/2021;1;12/30/2021;100000;1;5;0
3;0;3;15/09/2021;1;12/30/2021;100000;1;5;0
4;0;4;15/09/2021;1;12/23/2021;100000;1;5;1
4;0;4;13/09/2021;1;12/04/2021;100000;1;5;1
2;0;2;13/09/2021;1;3/19/2022;100000;1;5;1
1;0;1;11/09/2021;2;1/14/2022;160000;1;5;0
1;0;1;11/09/2021;1;1/14/2022;100000;1;5;0
1;0;1;10/09/2021;1;06/04/2022;100000;1;5;0
2;0;2;07/09/2021;1;12/31/2021;100000;1;5;0
3;0;3;05/09/2021;1;12/04/2021;100000;1;5;1
1;0;1;12/08/2021;1;1/20/2022;103000;2;4;0
2;0;2;02/09/2021;1;12/04/2021;100000;1;5;1
2;0;2;31/08/2021;1;12/07/2021;100000;1;5;1
2;0;2;31/08/2021;2;12/09/2021;160000;1;5;1
1;0;1;29/08/2021;3;5/22/2022;110000;1;5;0
2;0;2;28/08/2021;3;1/23/2022;110000;1;5;0
4;0;4;20/08/2021;3;12/05/2021;110000;1;5;1
4;0;4;20/08/2021;2;12/04/2021;160000;1;5;1
3;0;3;27/09/2021;2;12/20/2021;160000;1;2;1
2;0;2;27/09/2021;2;12/13/2021;160000;1;2;1
2;0;2;18/09/2021;1;12/04/2021;100000;1;5;0
5;0;5;19/09/2021;2;12/04/2021;160000;1;5;1
5;0;5;19/09/2021;1;12/05/2021;100000;1;5;1
2;0;2;19/09/2021;1;12/05/2021;100000;1;5;1
2;0;2;19/09/2021;2;12/26/2021;160000;1;5;1
2;0;2;19/09/2021;1;01/03/2022;100000;1;5;1
2;0;2;08/10/2021;2;12/29/2021;160000;1;4;1
2;0;2;21/09/2021;1;12/27/2021;100000;1;5;0
3;0;2;22/09/2021;1;12/06/2021;100000;1;5;1
2;0;2;23/09/2021;2;12/04/2021;160000;1;5;1
2;0;2;23/09/2021;1;12/04/2021;100000;1;5;1
2;0;2;11/10/2021;1;12/04/2021;163000;1;2;0
2;0;2;24/09/2021;1;12/04/2021;100000;1;5;1
2;0;2;25/09/2021;1;03/04/2022;100000;1;5;0
2;0;2;26/09/2021;1;12/27/2021;100000;1;5;0
2;0;2;26/09/2021;1;12/07/2021;100000;1;5;1
1;0;1;27/09/2021;2;12/05/2021;160000;1;5;1
1;0;1;27/09/2021;1;12/06/2021;100000;1;5;1
1;0;1;28/09/2021;1;05/09/2022;100000;1;5;1
2;0;2;21/10/2021;2;12/08/2021;160000;1;2;1
2;0;2;29/10/2021;2;12/06/2021;160000;1;2;1
2;0;2;30/09/2021;1;12/18/2021;100000;1;5;0
2;0;2;30/09/2021;1;12/06/2021;100000;1;5;1
1;0;1;01/10/2021;1;12/15/2021;100000;1;5;0
1;0;1;01/10/2021;2;12/16/2021;160000;1;5;0
2;0;2;01/10/2021;2;01/04/2022;160000;1;5;1
2;0;2;01/10/2021;1;12/31/2021;100000;1;5;1
2;0;2;31/10/2021;2;12/05/2021;160000;1;2;1
5;0;5;31/10/2021;2;12/06/2021;160000;1;2;1
2;0;2;03/11/2021;1;12/04/2021;100000;1;4;1
2;0;2;03/11/2021;2;12/08/2021;160000;1;4;0
3;0;3;05/11/2021;2;01/06/2022;160000;1;4;1
2;0;2;06/11/2021;2;12/07/2021;160000;1;2;0
3;0;1;02/10/2021;1;01/02/2022;100000;1;5;1
2;0;2;03/10/2021;2;12/17/2021;160000;1;5;0
2;0;2;03/10/2021;2;12/04/2021;160000;1;5;0
2;0;2;03/10/2021;1;2/15/2022;100000;1;5;1
3;0;3;04/10/2021;1;12/05/2021;100000;1;5;1
2;0;2;04/10/2021;1;12/27/2021;100000;1;5;1
3;0;3;04/10/2021;2;12/06/2021;160000;1;5;1
3;0;3;04/10/2021;1;12/08/2021;100000;1;5;1
2;0;2;05/10/2021;1;12/04/2021;100000;1;5;0
4;0;4;05/10/2021;1;12/06/2021;100000;1;5;1
4;0;4;05/10/2021;2;12/05/2021;160000;1;5;1
1;0;2;05/10/2021;1;8/27/2022;100000;1;5;1
2;0;2;05/10/2021;1;2/23/2022;100000;1;5;1
6;0;5;07/11/2021;2;12/04/2021;160000;1;2;1
3;0;3;08/11/2021;1;12/30/2021;100000;1;2;0
4;0;4;08/11/2021;3;12/05/2021;110000;1;2;1
1;0;1;06/10/2021;1;12/08/2021;100000;1;5;0
1;0;1;06/10/2021;1;12/11/2021;100000;1;5;1
3;0;3;07/10/2021;1;12/05/2021;100000;1;5;1
4;0;4;07/10/2021;1;1/15/2022;100000;1;5;0
2;0;2;07/10/2021;1;12/10/2021;100000;1;5;0
4;0;4;08/10/2021;2;12/05/2021;160000;1;5;1
